road_id,len,time,max_speed,max_cte,max_curv,avg_curv,success
22,15,0.71224,10.43892,0.0055,0.06552,0.0275,0
349,420,45.80477,42.327,61.2872,0.06867,0.03036,0
467,184,9.30646,31.08528,1.0593,0.06773,0.02545,0
487,25,1.24371,18.00396,0.0022,0.06926,0.03686,0
710,334,97.1692,31.23792,0.8672,0.06784,0.02959,0
714,28,1.39442,20.6964,0.0002,0.06824,0.0413,0
762,12,0.57659,7.54884,0,0.0682,0.03627,0
777,8,0.36967,3.87288,0.0001,0.06959,0.03357,0
818,14,0.67834,9.33984,0.0001,0.06314,0.03896,0
826,31,1.53937,21.942,0,0.06762,0.03606,0
853,183,9.24949,30.79368,0.8992,0.068,0.02975,0
